                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.3642,                 1.1096,                 1.4153,                0.89452,                0.84809,                0.92464,                0.71367,                 1.1298,                0.83539,                  1.244,              0.0033257,              0.0033257,              0.0033257
                      2,                0.96563,                0.63618,                 1.1345,                0.90905,                0.91034,                0.95417,                0.76772,                 1.0126,                0.64798,                 1.1422,              0.0065931,              0.0065931,              0.0065931
                      3,                 0.9304,                0.61935,                 1.1034,                  0.926,                0.89181,                0.94535,                0.76483,                 0.9876,                0.68841,                 1.1278,              0.0097946,              0.0097946,              0.0097946
                      4,                0.88159,                0.59322,                 1.0813,                0.92502,                0.91542,                0.95696,                0.80589,                0.95396,                0.61854,                 1.1153,               0.009703,               0.009703,               0.009703
                      5,                0.82447,                0.54594,                 1.0599,                0.93019,                0.91939,                0.96308,                0.81553,                0.92729,                0.60499,                 1.1061,               0.009604,               0.009604,               0.009604
                      6,                0.78917,                 0.5165,                 1.0479,                 0.9255,                0.90977,                0.96084,                 0.8185,                0.89414,                0.60776,                 1.0889,               0.009505,               0.009505,               0.009505
                      7,                0.76719,                0.50403,                 1.0376,                0.93626,                0.92331,                0.96426,                0.82434,                0.86457,                0.56492,                 1.0717,               0.009406,               0.009406,               0.009406
                      8,                0.74578,                0.48633,                 1.0288,                0.92511,                0.91515,                0.96643,                0.83486,                0.86409,                0.57136,                  1.078,               0.009307,               0.009307,               0.009307
                      9,                0.73709,                0.48262,                 1.0265,                0.93591,                0.93574,                0.96725,                0.83848,                0.83941,                0.53634,                 1.0685,               0.009208,               0.009208,               0.009208
                     10,                 0.7208,                0.46878,                 1.0191,                0.94928,                0.92697,                 0.9693,                0.84215,                0.83538,                 0.5324,                 1.0717,               0.009109,               0.009109,               0.009109
                     11,                0.70563,                0.45584,                 1.0103,                0.94118,                0.92647,                0.96729,                0.83527,                0.82311,                0.53724,                 1.0599,                0.00901,                0.00901,                0.00901
                     12,                0.68375,                0.44524,                 1.0032,                0.93483,                0.93092,                0.96648,                 0.8391,                0.81597,                0.53261,                 1.0535,               0.008911,               0.008911,               0.008911
                     13,                0.68925,                0.44355,                 1.0019,                0.92571,                  0.913,                0.96572,                0.84696,                0.79444,                0.54279,                 1.0529,               0.008812,               0.008812,               0.008812
                     14,                 0.6657,                 0.4338,                0.99686,                0.94092,                0.93499,                0.97192,                0.84657,                0.82468,                0.50924,                 1.0687,               0.008713,               0.008713,               0.008713
                     15,                0.65628,                0.42845,                0.99099,                0.94177,                0.94627,                0.97345,                 0.8588,                0.76191,                 0.5022,                 1.0369,               0.008614,               0.008614,               0.008614
                     16,                0.64581,                0.42101,                0.98716,                 0.9513,                0.93356,                0.97383,                0.86274,                0.77076,                0.47558,                 1.0352,               0.008515,               0.008515,               0.008515
                     17,                0.64358,                0.42252,                0.98699,                0.92838,                0.94205,                0.97156,                0.86572,                0.76201,                0.48826,                 1.0384,               0.008416,               0.008416,               0.008416
                     18,                0.63511,                 0.4202,                0.97987,                0.95304,                0.93367,                0.97443,                0.86203,                0.77647,                0.49529,                 1.0366,               0.008317,               0.008317,               0.008317
                     19,                0.62466,                0.41552,                0.97637,                0.94388,                0.94193,                0.97498,                0.86876,                0.74093,                0.48075,                 1.0256,               0.008218,               0.008218,               0.008218
                     20,                0.62098,                0.41411,                0.97634,                 0.9398,                0.93259,                0.97166,                0.86997,                0.74598,                0.48933,                 1.0204,               0.008119,               0.008119,               0.008119
                     21,                0.61721,                0.41183,                0.97104,                0.94999,                0.93844,                0.97354,                0.85679,                0.75919,                0.48906,                 1.0356,                0.00802,                0.00802,                0.00802
                     22,                0.61303,                0.41068,                0.96956,                0.94629,                0.93462,                0.97459,                0.87573,                0.73852,                0.47996,                 1.0212,               0.007921,               0.007921,               0.007921
                     23,                0.58984,                0.39733,                0.95791,                0.94152,                0.94259,                0.97314,                0.87627,                0.72102,                0.46815,                 1.0082,               0.007822,               0.007822,               0.007822
                     24,                0.59239,                0.39903,                0.95951,                0.94678,                0.94159,                0.97592,                0.87798,                0.71129,                0.46642,                  1.008,               0.007723,               0.007723,               0.007723
                     25,                0.59319,                0.39825,                0.95765,                0.94873,                0.94342,                0.97628,                0.88203,                0.71528,                0.45564,                 1.0097,               0.007624,               0.007624,               0.007624
                     26,                0.58375,                0.39863,                0.95655,                0.94767,                0.94236,                 0.9746,                0.88017,                0.71845,                0.45286,                 1.0117,               0.007525,               0.007525,               0.007525
                     27,                0.57002,                0.38791,                0.94989,                 0.9502,                0.94428,                0.97518,                0.87881,                0.71346,                 0.4612,                 1.0089,               0.007426,               0.007426,               0.007426
                     28,                0.55967,                0.38631,                0.94643,                0.95599,                0.94099,                  0.975,                0.88234,                 0.7099,                0.46497,                 1.0043,               0.007327,               0.007327,               0.007327
                     29,                0.57152,                 0.3947,                0.94937,                0.94573,                 0.9438,                0.97474,                0.88332,                0.70293,                0.47884,                0.99891,               0.007228,               0.007228,               0.007228
                     30,                0.55416,                 0.3856,                0.94223,                0.95193,                0.94404,                0.97508,                0.86607,                0.70529,                0.44771,                 1.0119,               0.007129,               0.007129,               0.007129
                     31,                0.55286,                0.37955,                0.94299,                0.95257,                0.94676,                0.97666,                0.88482,                0.71109,                0.46637,                 1.0059,                0.00703,                0.00703,                0.00703
                     32,                0.55335,                 0.3815,                0.94145,                 0.9553,                0.94779,                0.97586,                0.88902,                0.68207,                 0.4548,                  1.004,               0.006931,               0.006931,               0.006931
                     33,                0.54716,                0.38116,                0.94054,                0.94263,                0.93253,                0.97363,                0.88552,                 0.6945,                0.45673,                  1.001,               0.006832,               0.006832,               0.006832
                     34,                0.55238,                0.38093,                0.94273,                0.95536,                0.93989,                0.97655,                0.88771,                0.68413,                0.43574,                 0.9894,               0.006733,               0.006733,               0.006733
                     35,                0.54486,                0.37813,                0.94041,                0.94923,                0.95185,                0.97619,                0.89136,                0.67442,                0.44254,                0.98569,               0.006634,               0.006634,               0.006634
                     36,                0.53228,                0.36956,                0.93176,                0.95193,                 0.9406,                0.97476,                0.89144,                0.66501,                0.44847,                0.98687,               0.006535,               0.006535,               0.006535
                     37,                 0.5377,                0.37172,                0.93921,                0.95049,                0.93819,                0.97418,                0.89018,                0.66583,                0.44562,                0.98556,               0.006436,               0.006436,               0.006436
                     38,                0.52575,                0.36732,                0.92891,                0.94613,                0.94319,                0.97482,                0.89295,                0.66015,                0.43634,                0.99512,               0.006337,               0.006337,               0.006337
                     39,                0.53079,                0.36752,                0.93215,                0.95019,                0.94605,                0.97494,                0.89411,                0.65975,                0.44116,                0.98381,               0.006238,               0.006238,               0.006238
                     40,                0.51953,                0.36357,                 0.9288,                0.95969,                0.94535,                0.97544,                0.89415,                0.66678,                0.44456,                0.98567,               0.006139,               0.006139,               0.006139
                     41,                0.51895,                0.36487,                0.92853,                0.96122,                0.94766,                0.97718,                0.89168,                0.66236,                 0.4416,                0.99117,                0.00604,                0.00604,                0.00604
                     42,                0.51629,                0.36139,                0.92491,                0.95191,                0.94941,                0.97554,                0.89519,                0.64936,                0.44092,                0.98452,               0.005941,               0.005941,               0.005941
                     43,                0.50613,                0.35306,                0.92073,                 0.9548,                0.93945,                0.97524,                0.89426,                0.64685,                0.43208,                0.98364,               0.005842,               0.005842,               0.005842
                     44,                0.50408,                0.35439,                0.92201,                0.94616,                0.94206,                0.97675,                0.89521,                0.65582,                0.42652,                 0.9811,               0.005743,               0.005743,               0.005743
                     45,                0.50232,                0.34783,                0.92104,                 0.9581,                0.94789,                0.97818,                0.89784,                0.64199,                0.43307,                 0.9785,               0.005644,               0.005644,               0.005644
                     46,                0.49933,                0.34781,                0.91741,                0.95516,                0.94763,                0.97829,                 0.8983,                0.64194,                 0.4215,                0.97884,               0.005545,               0.005545,               0.005545
                     47,                0.49604,                0.35108,                 0.9183,                0.94297,                0.93955,                0.97458,                0.89641,                0.64846,                0.43162,                0.98417,               0.005446,               0.005446,               0.005446
                     48,                0.48514,                0.34295,                0.91314,                0.95342,                0.94466,                0.97651,                0.89789,                0.64142,                0.42453,                0.97628,               0.005347,               0.005347,               0.005347
                     49,                0.49102,                0.34276,                0.91811,                0.94401,                0.94721,                0.97559,                0.89549,                0.64584,                0.43157,                0.98186,               0.005248,               0.005248,               0.005248
                     50,                0.48771,                0.34395,                0.91529,                0.95854,                0.95032,                 0.9772,                0.89621,                0.63607,                0.41806,                0.98107,               0.005149,               0.005149,               0.005149
                     51,                 0.4861,                0.34268,                0.91288,                0.95141,                0.94527,                0.97568,                0.89794,                0.63402,                0.42317,                0.97792,                0.00505,                0.00505,                0.00505
                     52,                0.48177,                0.33601,                0.91149,                0.95428,                 0.9453,                0.97707,                0.89834,                0.63966,                0.41515,                0.97948,               0.004951,               0.004951,               0.004951
                     53,                0.48137,                 0.3371,                0.91252,                0.95913,                0.94308,                0.97692,                0.89857,                0.63473,                0.41663,                0.97423,               0.004852,               0.004852,               0.004852
                     54,                  0.481,                0.33549,                0.91096,                0.95728,                0.95364,                0.97811,                0.90131,                 0.6322,                0.41107,                0.97457,               0.004753,               0.004753,               0.004753
                     55,                0.47272,                0.33658,                0.90856,                0.95132,                0.94961,                0.97696,                0.90036,                0.62733,                0.41933,                0.97682,               0.004654,               0.004654,               0.004654
                     56,                0.47036,                0.33611,                0.90777,                0.95852,                0.94658,                0.97639,                0.90005,                0.62723,                0.42143,                0.97556,               0.004555,               0.004555,               0.004555
                     57,                0.47218,                0.32977,                0.90715,                0.95941,                0.94735,                0.97766,                0.90131,                 0.6262,                0.41214,                0.97493,               0.004456,               0.004456,               0.004456
                     58,                0.47013,                0.33082,                0.90589,                0.95948,                0.94926,                 0.9763,                0.90234,                  0.628,                0.41553,                0.97111,               0.004357,               0.004357,               0.004357
                     59,                0.46168,                0.32811,                0.90305,                0.95682,                0.94948,                0.97673,                0.90071,                0.63009,                0.42251,                0.97163,               0.004258,               0.004258,               0.004258
                     60,                0.46271,                0.32452,                0.90433,                0.96063,                0.95034,                0.97687,                0.90266,                0.62091,                0.41649,                0.96995,               0.004159,               0.004159,               0.004159
                     61,                0.46111,                 0.3252,                0.90212,                0.95596,                0.95308,                0.97775,                0.90185,                0.62586,                 0.4107,                0.97717,                0.00406,                0.00406,                0.00406
                     62,                0.46112,                0.32679,                0.90395,                0.95519,                0.94895,                0.97741,                0.90444,                0.61174,                0.41461,                0.96873,               0.003961,               0.003961,               0.003961
                     63,                0.45233,                0.31831,                0.89975,                0.95885,                0.94761,                0.97713,                0.90553,                0.60811,                0.40889,                0.96571,               0.003862,               0.003862,               0.003862
                     64,                0.45719,                0.32299,                0.90212,                0.95588,                 0.9488,                0.97765,                0.90539,                0.60809,                0.40659,                0.96442,               0.003763,               0.003763,               0.003763
                     65,                 0.4509,                 0.3232,                0.89839,                0.95048,                0.94892,                0.97672,                0.90458,                0.60239,                0.40518,                 0.9585,               0.003664,               0.003664,               0.003664
                     66,                0.44676,                0.31719,                0.89685,                0.95744,                0.95125,                0.97733,                0.90537,                0.61169,                0.40092,                0.96654,               0.003565,               0.003565,               0.003565
                     67,                0.44197,                0.31332,                 0.8968,                0.96129,                0.95386,                0.97875,                0.90583,                0.60494,                0.39645,                0.96371,               0.003466,               0.003466,               0.003466
                     68,                0.44102,                0.31443,                0.89429,                0.95482,                0.94485,                0.97784,                 0.9057,                0.60725,                0.39891,                0.96604,               0.003367,               0.003367,               0.003367
                     69,                 0.4392,                0.31316,                0.89466,                0.95537,                0.94693,                0.97852,                 0.9069,                0.59866,                0.39555,                0.95929,               0.003268,               0.003268,               0.003268
