                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.4322,                  1.613,                 1.4371,                0.88261,                0.84633,                0.90063,                0.65878,                 1.2392,                 1.1571,                 1.3317,              0.0033257,              0.0033257,              0.0033257
                      2,                 1.0938,                 0.8917,                 1.2179,                0.89514,                 0.8603,                0.93188,                0.68717,                 1.1757,                 1.0481,                 1.2303,              0.0065931,              0.0065931,              0.0065931
                      3,                 1.0436,                0.81968,                 1.1746,                0.90702,                0.86555,                0.92456,                0.71146,                 1.1155,                0.95437,                 1.2253,              0.0097946,              0.0097946,              0.0097946
                      4,                0.97373,                0.74723,                 1.1403,                0.89214,                0.86394,                0.93244,                0.74007,                 1.0518,                0.89932,                 1.1759,               0.009703,               0.009703,               0.009703
                      5,                0.93075,                 0.6932,                 1.1276,                0.91804,                0.89527,                0.94988,                0.76899,                 0.9978,                0.76841,                 1.1562,               0.009604,               0.009604,               0.009604
                      6,                0.90206,                 0.6579,                 1.1152,                0.92545,                 0.8865,                0.94622,                 0.7676,                 1.0054,                0.77815,                 1.1591,               0.009505,               0.009505,               0.009505
                      7,                0.86849,                0.62905,                 1.0964,                0.92166,                0.88883,                0.94463,                 0.7827,                0.95696,                0.75319,                 1.1299,               0.009406,               0.009406,               0.009406
                      8,                0.83745,                0.59789,                 1.0819,                0.92077,                0.90619,                0.95523,                0.79535,                 0.9343,                0.68163,                 1.1197,               0.009307,               0.009307,               0.009307
                      9,                 0.8276,                0.58574,                 1.0741,                0.92222,                0.91958,                0.95681,                0.80645,                0.91445,                0.68249,                 1.1204,               0.009208,               0.009208,               0.009208
                     10,                0.80342,                0.56344,                 1.0615,                0.92858,                0.93155,                0.96154,                0.81092,                0.92644,                 0.6283,                 1.1104,               0.009109,               0.009109,               0.009109
                     11,                0.79022,                0.55016,                 1.0566,                0.92131,                 0.9215,                0.96275,                0.81759,                0.91259,                0.62263,                 1.1123,                0.00901,                0.00901,                0.00901
                     12,                0.77984,                0.53891,                 1.0536,                0.92672,                 0.9248,                0.96016,                0.82153,                  0.917,                0.60867,                 1.1106,               0.008911,               0.008911,               0.008911
                     13,                0.76254,                0.52666,                 1.0392,                 0.9126,                0.91943,                0.96116,                0.82746,                0.87303,                 0.6172,                 1.0892,               0.008812,               0.008812,               0.008812
                     14,                0.76537,                0.52485,                  1.044,                0.94531,                 0.9275,                0.96938,                0.83061,                0.88087,                0.57076,                 1.0856,               0.008713,               0.008713,               0.008713
                     15,                0.74003,                0.50845,                 1.0296,                0.93857,                0.92369,                0.96527,                0.82488,                0.86755,                0.58722,                 1.0764,               0.008614,               0.008614,               0.008614
                     16,                0.74587,                0.50358,                 1.0318,                0.94459,                0.93665,                0.97036,                0.83545,                0.85909,                0.54874,                 1.0842,               0.008515,               0.008515,               0.008515
                     17,                0.74485,                0.50036,                 1.0338,                0.94431,                0.93822,                0.97037,                0.83668,                0.85779,                0.54697,                 1.0814,               0.008416,               0.008416,               0.008416
                     18,                0.74045,                 0.4943,                 1.0297,                0.93406,                0.93478,                0.96697,                0.82907,                0.84809,                 0.5757,                 1.0652,               0.008317,               0.008317,               0.008317
                     19,                0.72174,                0.48364,                 1.0184,                0.94142,                0.93563,                0.96851,                0.83988,                0.83758,                0.54819,                 1.0637,               0.008218,               0.008218,               0.008218
                     20,                0.72018,                0.47934,                 1.0187,                0.94638,                 0.9354,                0.96886,                0.84573,                0.83414,                0.54244,                 1.0692,               0.008119,               0.008119,               0.008119
                     21,                0.72689,                0.48706,                 1.0247,                0.94564,                0.93658,                0.97027,                0.84383,                0.82943,                0.53284,                 1.0603,                0.00802,                0.00802,                0.00802
                     22,                0.70273,                0.46704,                 1.0118,                 0.9455,                0.93232,                0.97148,                0.84296,                0.83913,                0.52364,                 1.0633,               0.007921,               0.007921,               0.007921
                     23,                0.70868,                0.47044,                 1.0184,                0.94331,                0.93826,                0.97034,                0.84361,                0.81425,                  0.531,                 1.0453,               0.007822,               0.007822,               0.007822
                     24,                0.69613,                0.46483,                 1.0089,                0.94433,                0.94037,                0.97077,                0.85099,                0.80889,                0.52398,                 1.0569,               0.007723,               0.007723,               0.007723
